0,1,2,3,4,5
-1.088011,-1.135203,-0.458579,-1.399986,-0.518349,0.000000
1.459977,-0.795528,-0.261021,1.028338,-0.838824,1.000000
1.459977,-0.795528,-0.261021,1.028338,-0.838824,1.000000
1.459977,-0.795528,-0.261021,1.028338,-0.838824,1.000000
-0.287481,0.264717,0.134435,0.804751,1.255684,2.000000
-0.287481,0.264717,0.134435,0.804751,1.255684,2.000000
-0.287481,0.264717,0.134435,0.804751,1.255684,2.000000
-0.287481,0.264717,0.134435,0.804751,1.255684,2.000000
-0.287481,0.264717,0.134435,0.804751,1.255684,2.000000
-0.996134,-0.552062,-0.027933,0.085425,-0.906839,0.000000
5.725297,-0.559288,-1.755506,0.886901,0.488587,0.000000
0.792502,-0.796048,0.384762,0.887298,1.053074,2.000000
0.792502,-0.796048,0.384762,0.887298,1.053074,2.000000
0.792502,-0.796048,0.384762,0.887298,1.053074,2.000000
0.792502,-0.796048,0.384762,0.887298,1.053074,2.000000
0.792502,-0.796048,0.384762,0.887298,1.053074,2.000000
-1.274989,-1.145485,-0.651705,-1.403989,-0.443637,0.000000
0.055154,0.276272,-0.149747,0.650358,0.480863,1.000000
0.055154,0.276272,-0.149747,0.650358,0.480863,1.000000
0.055154,0.276272,-0.149747,0.650358,0.480863,1.000000
0.055154,0.276272,-0.149747,0.650358,0.480863,1.000000
-0.109693,-1.218839,0.858813,-1.155401,0.507093,0.000000
0.448117,0.371224,-0.329117,-1.077305,-1.277197,0.000000
-0.825831,0.839918,-0.214594,-0.063075,0.772191,3.000000
-0.825831,0.839918,-0.214594,-0.063075,0.772191,3.000000
-0.825831,0.839918,-0.214594,-0.063075,0.772191,3.000000
-0.825831,0.839918,-0.214594,-0.063075,0.772191,3.000000
-0.913349,0.981816,-1.174747,0.470567,0.050706,0.000000
0.755628,0.832318,3.437738,-1.656462,1.997528,3.000000
0.755628,0.832318,3.437738,-1.656462,1.997528,3.000000
0.755628,0.832318,3.437738,-1.656462,1.997528,3.000000
0.755628,0.832318,3.437738,-1.656462,1.997528,3.000000
0.021187,0.407981,2.217825,-0.365941,-1.487812,1.000000
0.021187,0.407981,2.217825,-0.365941,-1.487812,1.000000
0.021187,0.407981,2.217825,-0.365941,-1.487812,1.000000
0.072648,-0.462237,-0.285069,2.077211,0.208971,3.000000
0.072648,-0.462237,-0.285069,2.077211,0.208971,3.000000
0.072648,-0.462237,-0.285069,2.077211,0.208971,3.000000
0.072648,-0.462237,-0.285069,2.077211,0.208971,3.000000
0.516298,-0.789111,1.139452,1.644911,-0.839101,0.000000
-1.850304,1.170049,-0.810805,2.399876,-0.302803,0.000000
-0.875551,-1.011880,-1.334353,0.235108,-0.572282,0.000000
-0.668888,0.158246,1.235447,1.405139,-0.454785,1.000000
-0.668888,0.158246,1.235447,1.405139,-0.454785,1.000000
-0.668888,0.158246,1.235447,1.405139,-0.454785,1.000000
-0.668888,0.158246,1.235447,1.405139,-0.454785,1.000000
-1.054300,-0.479566,-0.461278,1.012197,0.952356,0.000000
-0.074403,2.264438,-0.848054,0.274673,-0.040361,3.000000
-0.074403,2.264438,-0.848054,0.274673,-0.040361,3.000000
-0.074403,2.264438,-0.848054,0.274673,-0.040361,3.000000
-0.074403,2.264438,-0.848054,0.274673,-0.040361,3.000000
0.488139,0.008355,-0.775358,1.964458,0.128191,0.000000
-0.289621,-0.408619,0.242299,0.894945,-0.203758,0.000000
0.489481,0.189365,2.567195,0.707580,0.014409,3.000000
0.489481,0.189365,2.567195,0.707580,0.014409,3.000000
0.489481,0.189365,2.567195,0.707580,0.014409,3.000000
0.489481,0.189365,2.567195,0.707580,0.014409,3.000000
-0.766619,0.478292,-0.126994,1.040477,-1.395375,0.000000
0.998066,0.254415,-0.381530,-0.758132,0.094254,2.000000
0.998066,0.254415,-0.381530,-0.758132,0.094254,2.000000
0.998066,0.254415,-0.381530,-0.758132,0.094254,2.000000
0.998066,0.254415,-0.381530,-0.758132,0.094254,2.000000
0.998066,0.254415,-0.381530,-0.758132,0.094254,2.000000
0.560855,-0.442440,-0.589063,-2.279539,-0.381070,1.000000
0.560855,-0.442440,-0.589063,-2.279539,-0.381070,1.000000
0.560855,-0.442440,-0.589063,-2.279539,-0.381070,1.000000
0.042035,-1.267897,-0.095411,-0.184982,-0.600138,0.000000
1.055523,0.200229,0.513857,0.290625,-0.149074,1.000000
1.055523,0.200229,0.513857,0.290625,-0.149074,1.000000
1.055523,0.200229,0.513857,0.290625,-0.149074,1.000000
0.618010,-0.456453,0.902004,0.285784,-0.433076,0.000000
-1.546267,1.364205,-1.255749,-1.813839,0.537931,3.000000
-1.546267,1.364205,-1.255749,-1.813839,0.537931,3.000000
-1.546267,1.364205,-1.255749,-1.813839,0.537931,3.000000
-1.546267,1.364205,-1.255749,-1.813839,0.537931,3.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
0.743792,1.130592,1.517314,-1.036133,0.160290,4.000000
-0.412612,-0.835403,-1.141240,0.187993,0.398110,1.000000
-0.412612,-0.835403,-1.141240,0.187993,0.398110,1.000000
-0.412612,-0.835403,-1.141240,0.187993,0.398110,1.000000
-0.412612,-0.835403,-1.141240,0.187993,0.398110,1.000000
-0.310423,-0.549599,0.455096,-0.288674,0.129457,1.000000
-0.310423,-0.549599,0.455096,-0.288674,0.129457,1.000000
-0.310423,-0.549599,0.455096,-0.288674,0.129457,1.000000
2.039624,0.023725,1.216553,0.389710,-0.958289,0.000000
-0.592469,0.270535,-0.872842,-1.717356,0.229581,3.000000
-0.592469,0.270535,-0.872842,-1.717356,0.229581,3.000000
-0.592469,0.270535,-0.872842,-1.717356,0.229581,3.000000
-0.592469,0.270535,-0.872842,-1.717356,0.229581,3.000000
-0.336341,0.053846,-1.322345,0.243327,0.294758,0.000000
-2.250999,-0.816130,1.408127,1.082356,-0.172721,0.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
0.993647,-0.374689,-0.361507,3.110414,-0.029372,4.000000
