0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.939618,-0.702038,-0.409387,-1.439975,1.034073,-0.886750,-0.852803,1.024217,-0.713488,-0.162452,-0.879902,0.731031,0.818895,1.465015,1.000000
0.939618,-0.702038,-0.409387,-1.439975,1.034073,-0.886750,-0.852803,1.024217,-0.713488,-0.162452,-0.879902,0.731031,0.818895,1.465015,1.000000
0.939618,-0.702038,-0.409387,0.694456,-0.967050,1.127714,-0.852803,-0.976356,1.416782,0.055892,1.322487,0.731031,-0.204163,-0.295319,2.000000
0.939618,-0.702038,-0.409387,0.694456,-0.967050,1.127714,-0.852803,-0.976356,1.416782,0.055892,1.322487,0.731031,-0.204163,-0.295319,2.000000
0.939618,-0.702038,-0.409387,0.694456,-0.967050,-0.886750,-0.852803,-0.976356,-0.713488,-0.217038,-0.879902,-0.446713,0.563130,-0.992119,0.000000
-1.064262,-0.702038,-0.409387,-1.439975,-0.967050,1.127714,1.172604,1.024217,-0.713488,-0.981242,0.475415,1.373438,0.435248,5.755832,0.000000
-1.064262,-0.702038,-0.409387,0.694456,1.034073,1.127714,1.172604,1.024217,1.416782,0.383408,0.136585,0.623964,0.861522,0.786553,2.000000
-1.064262,-0.702038,-0.409387,0.694456,1.034073,1.127714,1.172604,1.024217,1.416782,0.383408,0.136585,0.623964,0.861522,0.786553,2.000000
-1.064262,-0.702038,-0.409387,0.694456,1.034073,1.127714,1.172604,1.024217,1.416782,0.383408,0.136585,0.623964,0.861522,0.786553,2.000000
-1.064262,1.424425,-0.409387,0.694456,1.034073,-0.886750,1.172604,-0.976356,0.351647,-0.162452,0.306000,0.623964,-0.246790,0.053080,1.000000
-1.064262,1.424425,-0.409387,0.694456,1.034073,-0.886750,1.172604,-0.976356,0.351647,-0.162452,0.306000,0.623964,-0.246790,0.053080,1.000000
0.939618,-0.702038,-0.409387,-1.439975,-0.967050,-0.886750,-0.852803,-0.976356,-0.713488,-0.162452,-0.710487,-0.660848,-0.459927,0.456490,0.000000
-1.064262,1.424425,-0.409387,-1.439975,1.034073,1.127714,1.172604,-0.976356,0.351647,-0.271624,0.814244,0.088625,-0.843574,-0.827087,3.000000
-1.064262,1.424425,-0.409387,-1.439975,1.034073,1.127714,1.172604,-0.976356,0.351647,-0.271624,0.814244,0.088625,-0.843574,-0.827087,3.000000
-1.064262,1.424425,-0.409387,0.694456,1.034073,1.127714,-0.852803,-0.976356,-0.713488,-1.254172,0.390707,0.302761,-1.014083,-0.900434,0.000000
-1.064262,1.424425,2.442676,-1.439975,1.034073,-0.886750,1.172604,1.024217,1.416782,3.658569,2.508389,0.195693,-0.715692,0.694869,3.000000
-1.064262,1.424425,2.442676,-1.439975,1.034073,-0.886750,1.172604,1.024217,1.416782,3.658569,2.508389,0.195693,-0.715692,0.694869,3.000000
